unique_id,loan_investment_amount,revenue,full_time_employees,LMI_type,program_type
AK_2013_VCP_1,180000,0,5,Non-LMI,Venture Capital
AK_2013_VCP_2,46570.84,0,28,LMI,Venture Capital
AK_2013_VCP_3,265000,0,7,Non-LMI,Venture Capital
AK_2014_VCP_1,199500,0,2,Non-LMI,Venture Capital
AK_2014_VCP_2,125000,218242.81,8,LMI,Venture Capital
AK_2014_VCP_3,120000,41000,0,Non-LMI,Venture Capital
AK_2015_VCP_1,46570.84,0,4,Non-LMI,Venture Capital
AK_2015_VCP_2,30000,0,3,Non-LMI,Venture Capital
AK_2016_VCP_1,74000,0,0,Non-LMI,Venture Capital
AK_2016_VCP_2,125000,0,4,Non-LMI,Venture Capital
AK_2016_VCP_3,140000,45000,5,Non-LMI,Venture Capital
AK_2016_VCP_4,21875,0,2,LMI,Venture Capital
AK_2016_VCP_5,21875,279000,1,Non-LMI,Venture Capital
AK_2016_VCP_6,21875,0,2,LMI,Venture Capital
AK_2016_VCP_7,21875,0,3,Non-LMI,Venture Capital
AK_2016_VCP_8,21875,0,2,Non-LMI,Venture Capital
AK_2016_VCP_9,135000,279000,2,Non-LMI,Venture Capital
AK_2016_VCP_10,199500,45000,5,Non-LMI,Venture Capital
AK_2016_VCP_11,150000,50000,2,LMI,Venture Capital
AL_2012_LGP_1,46570.84,218242.81,1,Non-LMI,Loan Guarantee
AL_2012_LGP_2,50000,0,1,LMI,Loan Guarantee
AL_2012_LGP_3,250000,218242.81,2,Non-LMI,Loan Guarantee
AL_2012_LGP_4,286000,342755,13,Non-LMI,Loan Guarantee
AL_2012_LGP_5,46570.84,348478.45,13,Non-LMI,Loan Guarantee
AL_2012_LGP_6,46570.84,219451.66,25,Non-LMI,Loan Guarantee
AL_2012_LGP_7,32000,828344,4,Non-LMI,Loan Guarantee
AL_2012_LGP_8,38000,330465.35,6,Non-LMI,Loan Guarantee
AL_2012_LGP_9,250000,0,0,LMI,Loan Guarantee
AL_2012_LGP_10,50000,59854,37,LMI,Loan Guarantee
AL_2012_LGP_11,46570.84,0,13,Non-LMI,Loan Guarantee
